

Saint-Cyr-sur-Morin;77750;77405
Saint-Denis-lès-Rebais;77510;77406
Saint-Fargeau-Ponthierry;77310;77407
Saint-Fiacre;77470;77408
Saint-Germain-Laval;77130;77409
Saint-Germain-Laxis;77950;77410
Saint-Germain-sous-Doue;77169;77411
Saint-Germain-sur-École;77930;77412
Saint-Germain-sur-Morin;77860;77413
Saint-Hilliers;77160;77414
Saint-Jean-les-Deux-Jumeaux;77660;77415
Saint-Just-en-Brie;77370;77416
Saint-Léger;77510;77417
Saint-Loup-de-Naud;77650;77418
Saint-Mammès;77670;77419
Saint-Mard;77230;77420
Saint-Mars-Vieux-Maisons;77320;77421
Saint-Martin-des-Champs;77320;77423
Saint-Martin-du-Boschet;77320;77424
Saint-Martin-en-Bière;77630;77425
Saint-Méry;77720;77426
Saint-Mesmes;77410;77427
Saint-Ouen-en-Brie;77720;77428
Saint-Ouen-sur-Morin;77750;77429
Saint-Pathus;77178;77430
Saint-Pierre-lès-Nemours;77140;77431
Saint-Rémy-la-Vanne;77320;77432
Saints;77120;77433
Saint-Sauveur-lès-Bray;77480;77434
Saint-Sauveur-sur-École;77930;77435
Saint-Siméon;77169;77436
Saint-Soupplets;77165;77437
Saint-Thibault-des-Vignes;77400;77438
Salins;77148;77439
Sammeron;77260;77440
Samois-sur-Seine;77920;77441
Samoreau;77210;77442
Sancy;77580;77443
Sancy-lès-Provins;77320;77444
Savigny-le-Temple;77176;77445
Savins;77650;77446
Seine-Port;77240;77447
Sept-Sorts;77260;77448
Serris;77700;77449
Servon;77170;77450
Signy-Signets;77640;77451
Sigy;77520;77452
Sivry-Courtry;77115;77453
Sognolles-en-Montois;77520;77454
Soignolles-en-Brie;77111;77455
Soisy-Bouy;77650;77456
Solers;77111;77457
Souppes-sur-Loing;77460;77458
Sourdun;77171;77459
Tancrou;77440;77460
Thénisy;77520;77461
Thieux;77230;77462
Thomery;77810;77463
Thorigny-sur-Marne;77400;77464
Thoury-Férottes;77940;77465
Tigeaux;77163;77466
La Tombe;77130;77467
Torcy;77200;77468
Touquin;77131;77469
Tournan-en-Brie;77220;77470
Tousson;77123;77471
La Trétoire;77510;77472
Treuzy-Levelay;77710;77473
Trilbardou;77450;77474
Trilport;77470;77475
Trocy-en-Multien;77440;77476
Ury;77760;77477
Ussy-sur-Marne;77260;77478
Vaires-sur-Marne;77360;77479
Valence-en-Brie;77830;77480
Vanvillé;77370;77481
Varennes-sur-Seine;77130;77482
Varreddes;77910;77483
Vaucourtois;77580;77484
Le Vaudoué;77123;77485
Vaudoy-en-Brie;77141;77486
Vaux-le-Pénil;77000;77487
Vaux-sur-Lunain;77710;77489
Vendrest;77440;77490
Veneux-les-Sablons;77250;77491
Verdelot;77510;77492
Verneuil-l'Étang;77390;77493
Vernou-la-Celle-sur-Seine;77670;77494
Vert-Saint-Denis;77240;77495
Vieux-Champagne;77370;77496
Vignely;77450;77498
Villebéon;77710;77500
Villecerf;77250;77501
Villemaréchal;77710;77504
Villemareuil;77470;77505
Villemer;77250;77506
Villenauxe-la-Petite;77480;77507
Villeneuve-le-Comte;77174;77508
Villeneuve-les-Bordes;77154;77509
Villeneuve-Saint-Denis;77174;77510
Villeneuve-sous-Dammartin;77230;77511
Villeneuve-sur-Bellot;77510;77512
Villenoy;77124;77513
Villeparisis;77270;77514
Villeroy;77410;77515
Ville-Saint-Jacques;77130;77516
Villevaudé;77410;77517
Villiers-en-Bière;77190;77518
Villiers-Saint-Georges;77560;77519
Villiers-sous-Grez;77760;77520
Villiers-sur-Morin;77580;77521
Villiers-sur-Seine;77114;77522
Villuis;77480;77523
Vimpelles;77520;77524
Vinantes;77230;77525
Vincy-Manoeuvre;77139;77526
Voinsles;77540;77527
Voisenon;77950;77528
Voulangis;77580;77529
Voulton;77560;77530
Voulx;77940;77531
Vulaines-lès-Provins;77160;77532
Vulaines-sur-Seine;77870;77533
Yèbles;77390;77534
Ablis;78660;78003
Achères;78260;78005
Adainville;78113;78006
Aigremont;78240;78007
Allainville;78660;78009
Les Alluets-le-Roi;78580;78010
Andelu;78770;78013
Andrésy;78570;78015
Arnouville-lès-Mantes;78790;78020
Aubergenville;78410;78029
Auffargis;78610;78030
Auffreville-Brasseuil;78930;78031
Aulnay-sur-Mauldre;78126;78033
Auteuil;78770;78034
Autouillet;78770;78036
Bailly;78870;78043
Bazainville;78550;78048
Bazemont;78580;78049
Bazoches-sur-Guyonne;78490;78050
Béhoust;78910;78053
Bennecourt;78270;78057
Beynes;78650;78062
Blaru;78270;78068
Boinville-en-Mantois;78930;78070
Boinville-le-Gaillard;78660;78071
Boinvilliers;78200;78072
Bois-d'Arcy;78390;78073
Boissets;78910;78076
La Boissière-École;78125;78077
Boissy-Mauvoisin;78200;78082
Boissy-sans-Avoir;78490;78084
Bonnelles;78830;78087
Bonnières-sur-Seine;78270;78089
Bouafle;78410;78090
Bougival;78380;78092
Bourdonné;78113;78096
Breuil-Bois-Robert;78930;78104
Bréval;78980;78107
Les Bréviaires;78610;78108
Brueil-en-Vexin;78440;78113
Buc;78530;78117
Buchelay;78200;78118
Bullion;78830;78120
Carrières-sous-Poissy;78955;78123
Carrières-sur-Seine;78420;78124
La Celle-les-Bordes;78720;78125
La Celle-Saint-Cloud;78170;78126
Cernay-la-Ville;78720;78128
Chambourcy;78240;78133
Chanteloup-les-Vignes;78570;78138
Chapet;78130;78140
Châteaufort;78117;78143
Chatou;78400;78146
Chaufour-lès-Bonnières;78270;78147
Chavenay;78450;78152
Le Chesnay;78150;78158
Chevreuse;78460;78160
Choisel;78460;78162
Civry-la-Forêt;78910;78163
Clairefontaine-en-Yvelines;78120;78164
Les Clayes-sous-Bois;78340;78165
Coignières;78310;78168
Condé-sur-Vesgre;78113;78171
Conflans-Sainte-Honorine;78700;78172
Courgent;78790;78185
Cravent;78270;78188
Crespières;78121;78189
Croissy-sur-Seine;78290;78190
Dammartin-en-Serve;78111;78192
Dampierre-en-Yvelines;78720;78193
Dannemarie;78550;78194
Davron;78810;78196
Drocourt;78440;78202
Ecquevilly;78920;78206
Élancourt;78990;78208
Émancé;78125;78209
Épône;78680;78217
Les Essarts-le-Roi;78690;78220
L' Étang-la-Ville;78620;78224
Évecquemont;78740;78227
La Falaise;78410;78230
Favrieux;78200;78231
Feucherolles;78810;78233
Flacourt;78200;78234
Flexanville;78910;78236
Flins-Neuve-Église;78790;78237
Flins-sur-Seine;78410;78238
Follainville-Dennemont;78520;78239
Fontenay-le-Fleury;78330;78242
Fontenay-Mauvoisin;78200;78245
Fontenay-Saint-Père;78440;78246
Fourqueux;78112;78251
Freneuse;78840;78255
Gaillon-sur-Montcient;78250;78261
Galluis;78490;78262
Gambais;78950;78263
Gambaiseuil;78490;78264
Garancières;78890;78265
Gargenville;78440;78267
Gazeran;78125;78269
Gommecourt;78270;78276
Goupillières;78770;78278
Goussonville;78930;78281
Grandchamp;78113;78283
Gressey;78550;78285
Grosrouvre;78490;78289
Guernes;78520;78290
Guerville;78930;78291
Guitrancourt;78440;78296
Guyancourt;78280;78297
Hardricourt;78250;78299
Hargeville;78790;78300
La Hauteville;78113;78302
Herbeville;78580;78305
Hermeray;78125;78307
Houdan;78550;78310
Houilles;78800;78311
Issou;78440;78314
Jambville;78440;78317
Jeufosse;78270;78320
Jouars-Pontchartrain;78760;78321
Jouy-en-Josas;78350;78322
Jouy-Mauvoisin;78200;78324
Jumeauville;78580;78325
Juziers;78820;78327
Lainville-en-Vexin;78440;78329
Lévis-Saint-Nom;78320;78334
Limay;78520;78335
Limetz-Villez;78270;78337
Les Loges-en-Josas;78350;78343
Lommoye;78270;78344
Longnes;78980;78346
Longvilliers;78730;78349
Louveciennes;78430;78350
Magnanville;78200;78354
Magny-les-Hameaux;78114;78356
Maisons-Laffitte;78600;78358
Mantes-la-Jolie;78200;78361
Mantes-la-Ville;78711;78362
Marcq;78770;78364
Mareil-le-Guyon;78490;78366
Mareil-Marly;78750;78367
Mareil-sur-Mauldre;78124;78368
Marly-le-Roi;78160;78372
Maule;78580;78380
Maulette;78550;78381
Maurecourt;78780;78382
Maurepas;78310;78383
Médan;78670;78384
Ménerville;78200;78385
Méré;78490;78389
Méricourt;78270;78391
Le Mesnil-le-Roi;78600;78396
Le Mesnil-Saint-Denis;78320;78397
Les Mesnuls;78490;78398
Meulan-en-Yvelines;78250;78401
Mézières-sur-Seine;78970;78402
Mézy-sur-Seine;78250;78403
Millemont;78940;78404
Milon-la-Chapelle;78470;78406
Mittainville;78125;78407
Moisson;78840;78410
Mondreville;78980;78413
Montainville;78124;78415
Montalet-le-Bois;78440;78416
Montchauvet;78790;78417
Montesson;78360;78418
Montfort-l'Amaury;78490;78420
Montigny-le-Bretonneux;78180;78423
Morainvilliers;78630;78431
Mousseaux-sur-Seine;78270;78437
Mulcent;78790;78439
Les Mureaux;78130;78440
Neauphle-le-Château;78640;78442
Neauphle-le-Vieux;78640;78443
Neauphlette;78980;78444
Nézel;78410;78451
Noisy-le-Roi;78590;78455
Oinville-sur-Montcient;78250;78460
Orcemont;78125;78464
Orgerus;78910;78465
Orgeval;78630;78466
Orphin;78125;78470
Orsonville;78660;78472
Orvilliers;78910;78474
Osmoy;78910;78475
Paray-Douaville;78660;78478
Le Pecq;78230;78481
Perdreauville;78200;78484
Le Perray-en-Yvelines;78610;78486
Plaisir;78370;78490
Poigny-la-Forêt;78125;78497
Poissy;78300;78498
Ponthévrard;78730;78499
Porcheville;78440;78501
Le Port-Marly;78560;78502
Port-Villez;78270;78503
Prunay-le-Temple;78910;78505
Prunay-en-Yvelines;78660;78506
La Queue-les-Yvelines;78940;78513
Raizeux;78125;78516
Rambouillet;78120;78517
Rennemoulin;78590;78518
Richebourg;78550;78520
Rochefort-en-Yvelines;78730;78522
Rocquencourt;78150;78524
Rolleboise;78270;78528
Rosay;78790;78530
Rosny-sur-Seine;78710;78531
Sailly;78440;78536
Saint-Arnoult-en-Yvelines;78730;78537
Saint-Cyr-l'École;78210;78545
Saint-Forget;78720;78548
Saint-Germain-de-la-Grange;78640;78550
Saint-Germain-en-Laye;78100;78551
Saint-Hilarion;78125;78557
Saint-Illiers-la-Ville;78980;78558
Saint-Illiers-le-Bois;78980;78559
Saint-Lambert;78470;78561
Saint-Léger-en-Yvelines;78610;78562
Saint-Martin-de-Bréthencourt;78660;78564
Saint-Martin-des-Champs;78790;78565
Saint-Martin-la-Garenne;78520;78567
Sainte-Mesme;78730;78569
Saint-Nom-la-Bretèche;78860;78571
Saint-Rémy-lès-Chevreuse;78470;78575
Saint-Rémy-l'Honoré;78690;78576
Sartrouville;78500;78586
Saulx-Marchais;78650;78588
Senlisse;78720;78590
Septeuil;78790;78591
Soindres;78200;78597
Sonchamp;78120;78601
Tacoignières;78910;78605
Le Tartre-Gaudran;78113;78606
Le Tertre-Saint-Denis;78980;78608
Tessancourt-sur-Aubette;78250;78609
Thiverval-Grignon;78850;78615
Thoiry;78770;78616
Tilly;78790;78618
Toussus-le-Noble;78117;78620
Trappes;78190;78621
Le Tremblay-sur-Mauldre;78490;78623
Triel-sur-Seine;78510;78624
Vaux-sur-Seine;78740;78638
Vélizy-Villacoublay;78140;78640
Verneuil-sur-Seine;78480;78642
Vernouillet;78540;78643
La Verrière;78320;78644
Versailles;78000;78646
Vert;78930;78647
Le Vésinet;78110;78650
Vicq;78490;78653
Vieille-Église-en-Yvelines;78125;78655
La Villeneuve-en-Chevrie;78270;78668
Villennes-sur-Seine;78670;78672
Villepreux;78450;78674
Villette;78930;78677
Villiers-le-Mahieu;78770;78681
Villiers-Saint-Fréderic;78640;78683
Viroflay;78220;78686
Voisins-le-Bretonneux;78960;78688
Abbéville-la-Rivière;91150;91001
Angerville;91670;91016
Angervilliers;91470;91017
Arpajon;91290;91021
Arrancourt;91690;91022
Athis-Mons;91200;91027
Authon-la-Plaine;91410;91035
Auvernaux;91830;91037
Auvers-Saint-Georges;91580;91038
Avrainville;91630;91041
Ballainvilliers;91160;91044
Ballancourt-sur-Essonne;91610;91045
Baulne;91590;91047
Bièvres;91570;91064
Blandy;91150;91067
Boigneville;91720;91069
Bois-Herpin;91150;91075
Boissy-la-Rivière;91690;91079
Boissy-le-Cutté;91590;91080
Boissy-le-Sec;91870;91081
Boissy-sous-Saint-Yon;91790;91085
Bondoufle;91070;91086
Boullay-les-Troux;91470;91093
Bouray-sur-Juine;91850;91095
Boussy-Saint-Antoine;91800;91097
Boutervilliers;91150;91098
Boutigny-sur-Essonne;91820;91099
Bouville;91880;91100
Brétigny-sur-Orge;91220;91103
Breuillet;91650;91105
Breux-Jouy;91650;91106
Brières-les-Scellés;91150;91109
Briis-sous-Forges;91640;91111
Brouy;91150;91112
Brunoy;91800;91114
Bruyères-le-Châtel;91680;91115
Buno-Bonnevaux;91720;91121
Bures-sur-Yvette;91440;91122
Cerny;91590;91129
Chalo-Saint-Mars;91780;91130
Chalou-Moulineux;91740;91131
Chamarande;91730;91132
Champcueil;91750;91135
Champlan;91160;91136
Champmotteux;91150;91137
Chatignonville;91410;91145
Chauffour-lès-Étréchy;91580;91148
Cheptainville;91630;91156
Chevannes;91750;91159
Chilly-Mazarin;91380;91161
Corbeil-Essonnes;91100;91174
Corbreuse;91410;91175
Le Coudray-Montceaux;91830;91179
Courances;91490;91180
Courcouronnes;91080;91182
Courdimanche-sur-Essonne;91720;91184
Courson-Monteloup;91680;91186
Crosne;91560;91191
Dannemois;91490;91195
D'Huison-Longueville;91590;91198
Dourdan;91410;91200
Draveil;91210;91201
Écharcon;91540;91204
Égly;91520;91207
Épinay-sous-Sénart;91860;91215
Épinay-sur-Orge;91360;91216
Estouches;91660;91222
Étampes;91150;91223
Étiolles;91450;91225
Étréchy;91580;91226
Évry;91000;91228
La Ferté-Alais;91590;91232
Fleury-Mérogis;91700;91235
Fontaine-la-Rivière;91690;91240
Fontenay-lès-Briis;91640;91243
Fontenay-le-Vicomte;91540;91244
La Forêt-le-Roi;91410;91247
La Forêt-Sainte-Croix;91150;91248
Forges-les-Bains;91470;91249
Gif-sur-Yvette;91190;91272
Gironville-sur-Essonne;91720;91273
Gometz-la-Ville;91400;91274
Gometz-le-Châtel;91940;91275
Les Granges-le-Roi;91410;91284
Grigny;91350;91286
Guibeville;91630;91292
Guigneville-sur-Essonne;91590;91293
Guillerval;91690;91294
Igny;91430;91312
Itteville;91760;91315
Janville-sur-Juine;91510;91318
Janvry;91640;91319
Juvisy-sur-Orge;91260;91326
Lardy;91510;91330
Leudeville;91630;91332
Leuville-sur-Orge;91310;91333
Limours;91470;91338
Linas;91310;91339
Lisses;91090;91340
Longjumeau;91160;91345
Longpont-sur-Orge;91310;91347
Maisse;91720;91359
Marcoussis;91460;91363
Marolles-en-Beauce;91150;91374
Marolles-en-Hurepoix;91630;91376
Massy;91300;91377
Mauchamps;91730;91378
Mennecy;91540;91386
Méréville;91660;91390
Mérobert;91780;91393
Mespuits;91150;91399
Milly-la-Forêt;91490;91405
Moigny-sur-École;91490;91408
Les Molières;91470;91411
Mondeville;91590;91412
Monnerville;91930;91414
Montgeron;91230;91421
Montlhéry;91310;91425
Morangis;91420;91432
Morigny-Champigny;91150;91433
Morsang-sur-Orge;91390;91434
Morsang-sur-Seine;91250;91435
Nainville-les-Roches;91750;91441
La Norville;91290;91457
Nozay;91620;91458
Ollainville;91340;91461
Oncy-sur-École;91490;91463
Ormoy;91540;91468
Ormoy-la-Rivière;91150;91469
Orsay;91400;91471
Orveau;91590;91473
Palaiseau;91120;91477
Paray-Vieille-Poste;91550;91479
Pecqueuse;91470;91482
Le Plessis-Pâté;91220;91494
Plessis-Saint-Benoist;91410;91495
